"Lengte en gewicht van personen, ondergewicht en overgewicht; vanaf 1981"
"";"";"";"Onderwerpen";"Onder- en overgewicht, 4 jaar of ouder";"Onder- en overgewicht, 4 jaar of ouder";"Onder- en overgewicht, 4 jaar of ouder"
"";"";"";"Onderwerpen";"Ondergewicht";"Normaal gewicht";"Overgewicht"
"Geslacht";"Leeftijd";"Perioden";"Cijfersoort";"%";"%";"%"
"Mannen";"Totaal";"1981";"Percentages/gemiddelden";"2.1";"67.7";"30.2"
"Mannen";"Totaal";"1982";"Percentages/gemiddelden";"2.3";"68.7";"29.0"
"Mannen";"Totaal";"1983";"Percentages/gemiddelden";"2.6";"67.2";"30.1"
"Mannen";"Totaal";"1984";"Percentages/gemiddelden";"2.8";"66.3";"30.8"
"Mannen";"Totaal";"1985";"Percentages/gemiddelden";"2.8";"66.6";"30.7"
"Mannen";"Totaal";"1986";"Percentages/gemiddelden";"3.2";"66.1";"30.7"
"Mannen";"Totaal";"1987";"Percentages/gemiddelden";"2.3";"65.5";"32.2"
"Mannen";"Totaal";"1988";"Percentages/gemiddelden";"2.3";"66.4";"31.3"
"Mannen";"Totaal";"1989";"Percentages/gemiddelden";"2.5";"65.1";"32.4"
"Mannen";"Totaal";"1990";"Percentages/gemiddelden";"2.6";"63.6";"33.8"
"Mannen";"Totaal";"1991";"Percentages/gemiddelden";"2.3";"64.1";"33.5"
"Mannen";"Totaal";"1992";"Percentages/gemiddelden";"2.4";"62.9";"34.7"
"Mannen";"Totaal";"1993";"Percentages/gemiddelden";"2.1";"63.0";"34.9"
"Mannen";"Totaal";"1994";"Percentages/gemiddelden";"2.1";"60.4";"37.6"
"Mannen";"Totaal";"1995";"Percentages/gemiddelden";"2.2";"63.0";"34.7"
"Mannen";"Totaal";"1996";"Percentages/gemiddelden";"2.8";"61.1";"36.1"
"Mannen";"Totaal";"1997";"Percentages/gemiddelden";"2.2";"60.1";"37.7"
"Mannen";"Totaal";"1998";"Percentages/gemiddelden";"2.5";"60.3";"37.2"
"Mannen";"Totaal";"1999";"Percentages/gemiddelden";"2.1";"58.2";"39.7"
"Mannen";"Totaal";"2000";"Percentages/gemiddelden";"1.9";"57.8";"40.3"
"Mannen";"Totaal";"2001";"Percentages/gemiddelden";"2.0";"55.9";"42.1"
"Mannen";"Totaal";"2002";"Percentages/gemiddelden";"2.4";"54.4";"43.2"
"Mannen";"Totaal";"2003";"Percentages/gemiddelden";"2.0";"54.9";"43.0"
"Mannen";"Totaal";"2004";"Percentages/gemiddelden";"1.9";"54.5";"43.6"
"Mannen";"Totaal";"2005";"Percentages/gemiddelden";"1.7";"55.5";"42.8"
"Mannen";"Totaal";"2006";"Percentages/gemiddelden";"2.0";"54.8";"43.3"
"Mannen";"Totaal";"2007";"Percentages/gemiddelden";"2.0";"54.8";"43.2"
"Mannen";"Totaal";"2008";"Percentages/gemiddelden";"1.8";"53.5";"44.7"
"Mannen";"Totaal";"2009";"Percentages/gemiddelden";"1.9";"53.3";"44.8"
"Mannen";"Totaal";"2010";"Percentages/gemiddelden";"1.9";"52.1";"46.0"
"Mannen";"Totaal";"2011";"Percentages/gemiddelden";"1.6";"52.5";"45.9"
"Mannen";"Totaal";"2012";"Percentages/gemiddelden";"1.7";"52.3";"46.1"
"Mannen";"Totaal";"2013";"Percentages/gemiddelden";"1.8";"52.8";"45.4"
"Mannen";"Totaal";"2014";"Percentages/gemiddelden";"1.6";"52.1";"46.3"
"Mannen";"Totaal";"2015";"Percentages/gemiddelden";"1.4";"52.4";"46.3"
"Mannen";"Totaal";"2016";"Percentages/gemiddelden";"1.9";"52.8";"45.3"
"Vrouwen";"Totaal";"1981";"Percentages/gemiddelden";"4.6";"70.8";"24.6"
"Vrouwen";"Totaal";"1982";"Percentages/gemiddelden";"5.1";"70.4";"24.5"
"Vrouwen";"Totaal";"1983";"Percentages/gemiddelden";"4.7";"70.5";"24.7"
"Vrouwen";"Totaal";"1984";"Percentages/gemiddelden";"5.0";"71.1";"23.9"
"Vrouwen";"Totaal";"1985";"Percentages/gemiddelden";"5.2";"70.8";"24.0"
"Vrouwen";"Totaal";"1986";"Percentages/gemiddelden";"5.0";"69.4";"25.6"
"Vrouwen";"Totaal";"1987";"Percentages/gemiddelden";"4.5";"69.4";"26.0"
"Vrouwen";"Totaal";"1988";"Percentages/gemiddelden";"4.7";"69.8";"25.5"
"Vrouwen";"Totaal";"1989";"Percentages/gemiddelden";"4.1";"68.4";"27.5"
"Vrouwen";"Totaal";"1990";"Percentages/gemiddelden";"4.6";"69.0";"26.4"
"Vrouwen";"Totaal";"1991";"Percentages/gemiddelden";"4.1";"68.3";"27.5"
"Vrouwen";"Totaal";"1992";"Percentages/gemiddelden";"4.6";"66.7";"28.7"
"Vrouwen";"Totaal";"1993";"Percentages/gemiddelden";"4.8";"66.6";"28.6"
"Vrouwen";"Totaal";"1994";"Percentages/gemiddelden";"4.0";"67.2";"28.8"
"Vrouwen";"Totaal";"1995";"Percentages/gemiddelden";"4.1";"65.7";"30.3"
"Vrouwen";"Totaal";"1996";"Percentages/gemiddelden";"4.8";"63.9";"31.3"
"Vrouwen";"Totaal";"1997";"Percentages/gemiddelden";"3.8";"64.3";"31.9"
"Vrouwen";"Totaal";"1998";"Percentages/gemiddelden";"3.2";"64.5";"32.3"
"Vrouwen";"Totaal";"1999";"Percentages/gemiddelden";"3.6";"63.6";"32.8"
"Vrouwen";"Totaal";"2000";"Percentages/gemiddelden";"3.4";"61.4";"35.2"
"Vrouwen";"Totaal";"2001";"Percentages/gemiddelden";"3.2";"62.2";"34.6"
"Vrouwen";"Totaal";"2002";"Percentages/gemiddelden";"3.2";"62.9";"33.9"
"Vrouwen";"Totaal";"2003";"Percentages/gemiddelden";"3.0";"61.6";"35.4"
"Vrouwen";"Totaal";"2004";"Percentages/gemiddelden";"3.1";"60.3";"36.6"
"Vrouwen";"Totaal";"2005";"Percentages/gemiddelden";"3.2";"61.8";"35.0"
"Vrouwen";"Totaal";"2006";"Percentages/gemiddelden";"2.9";"60.7";"36.3"
"Vrouwen";"Totaal";"2007";"Percentages/gemiddelden";"2.9";"62.2";"34.8"
"Vrouwen";"Totaal";"2008";"Percentages/gemiddelden";"3.1";"60.5";"36.4"
"Vrouwen";"Totaal";"2009";"Percentages/gemiddelden";"3.0";"60.1";"36.9"
"Vrouwen";"Totaal";"2010";"Percentages/gemiddelden";"2.6";"59.9";"37.4"
"Vrouwen";"Totaal";"2011";"Percentages/gemiddelden";"2.8";"59.8";"37.4"
"Vrouwen";"Totaal";"2012";"Percentages/gemiddelden";"2.9";"60.2";"36.9"
"Vrouwen";"Totaal";"2013";"Percentages/gemiddelden";"3.2";"59.0";"37.8"
"Vrouwen";"Totaal";"2014";"Percentages/gemiddelden";"2.4";"57.6";"40.0"
"Vrouwen";"Totaal";"2015";"Percentages/gemiddelden";"3.2";"57.0";"39.9"
"Vrouwen";"Totaal";"2016";"Percentages/gemiddelden";"2.9";"55.7";"41.4"
"© Centraal Bureau voor de Statistiek, Den Haag/Heerlen 7-11-2017"
