"Lengte en gewicht van personen, ondergewicht en overgewicht; vanaf 1981"
"";"";"";"Onderwerpen";"Onder- en overgewicht, 4 jaar of ouder";"Onder- en overgewicht, 4 jaar of ouder";"Onder- en overgewicht, 4 jaar of ouder";"Onder- en overgewicht, 4 jaar of ouder";"Onder- en overgewicht, 4 jaar of ouder"
"";"";"";"Onderwerpen";"Ondergewicht";"Normaal gewicht";"Overgewicht";"Mate van overgewicht";"Mate van overgewicht"
"";"";"";"Onderwerpen";"Ondergewicht";"Normaal gewicht";"Overgewicht";"Matig overgewicht";"Ernstig overgewicht"
"Geslacht";"Leeftijd";"Cijfersoort";"Perioden";"%";"%";"%";"%";"%"
"Mannen";"4 tot 12 jaar";"Percentages/gemiddelden";"1981";"6.2";"78.3";"15.5";"11.1";"4.5"
"Mannen";"4 tot 12 jaar";"Percentages/gemiddelden";"1982";"7.4";"81.9";"10.7";"7.4";"3.4"
"Mannen";"4 tot 12 jaar";"Percentages/gemiddelden";"1983";"9.6";"75.4";"15.0";"9.3";"5.6"
"Mannen";"4 tot 12 jaar";"Percentages/gemiddelden";"1984";"9.1";"78.4";"12.5";"9.2";"3.3"
"Mannen";"4 tot 12 jaar";"Percentages/gemiddelden";"1985";"7.8";"83.0";"9.2";"7.3";"1.9"
"Mannen";"4 tot 12 jaar";"Percentages/gemiddelden";"1986";"13.4";"76.7";"9.9";"7.1";"2.8"
"Mannen";"4 tot 12 jaar";"Percentages/gemiddelden";"1987";"9.8";"80.4";"9.8";"7.2";"2.6"
"Mannen";"4 tot 12 jaar";"Percentages/gemiddelden";"1988";"10.2";"79.3";"10.5";"7.5";"3.1"
"Mannen";"4 tot 12 jaar";"Percentages/gemiddelden";"1989";"10.0";"78.4";"11.6";"7.6";"4.0"
"Mannen";"4 tot 12 jaar";"Percentages/gemiddelden";"1990";"7.4";"76.9";"15.8";"9.4";"6.4"
"Mannen";"4 tot 12 jaar";"Percentages/gemiddelden";"1991";"11.6";"74.8";"13.6";"10.9";"2.7"
"Mannen";"4 tot 12 jaar";"Percentages/gemiddelden";"1992";"10.6";"75.4";"14.1";"10.2";"3.8"
"Mannen";"4 tot 12 jaar";"Percentages/gemiddelden";"1993";"8.6";"78.9";"12.5";"8.7";"3.8"
"Mannen";"4 tot 12 jaar";"Percentages/gemiddelden";"1994";"10.6";"75.3";"14.2";"9.0";"5.2"
"Mannen";"4 tot 12 jaar";"Percentages/gemiddelden";"1995";"8.8";"82.2";"9.0";"6.7";"2.3"
"Mannen";"4 tot 12 jaar";"Percentages/gemiddelden";"1996";"11.6";"76.4";"12.0";"9.9";"2.1"
"Mannen";"4 tot 12 jaar";"Percentages/gemiddelden";"1997";"8.3";"78.1";"13.6";"8.6";"5.0"
"Mannen";"4 tot 12 jaar";"Percentages/gemiddelden";"1998";"12.3";"73.0";"14.7";"11.0";"3.7"
"Mannen";"4 tot 12 jaar";"Percentages/gemiddelden";"1999";"10.8";"73.2";"16.0";"12.3";"3.7"
"Mannen";"4 tot 12 jaar";"Percentages/gemiddelden";"2000";"9.4";"77.8";"12.8";"10.1";"2.7"
"Mannen";"4 tot 12 jaar";"Percentages/gemiddelden";"2001";"10.0";"76.8";"13.2";"9.0";"4.2"
"Mannen";"4 tot 12 jaar";"Percentages/gemiddelden";"2002";"11.1";"74.1";"14.7";"8.6";"6.1"
"Mannen";"4 tot 12 jaar";"Percentages/gemiddelden";"2003";"8.2";"77.7";"14.2";"10.4";"3.8"
"Mannen";"4 tot 12 jaar";"Percentages/gemiddelden";"2004";"9.0";"75.4";"15.6";"12.0";"3.6"
"Mannen";"4 tot 12 jaar";"Percentages/gemiddelden";"2005";"8.8";"77.5";"13.6";"11.6";"2.0"
"Mannen";"4 tot 12 jaar";"Percentages/gemiddelden";"2006";"9.2";"78.8";"12.0";"10.4";"1.6"
"Mannen";"4 tot 12 jaar";"Percentages/gemiddelden";"2007";"8.1";"82.2";"9.7";"7.3";"2.4"
"Mannen";"4 tot 12 jaar";"Percentages/gemiddelden";"2008";"7.3";"79.8";"12.9";"9.9";"2.9"
"Mannen";"4 tot 12 jaar";"Percentages/gemiddelden";"2009";"8.3";"78.0";"13.7";"11.2";"2.5"
"Mannen";"4 tot 12 jaar";"Percentages/gemiddelden";"2010";"6.1";"81.2";"12.7";"9.8";"2.9"
"Mannen";"4 tot 12 jaar";"Percentages/gemiddelden";"2011";"7.5";"79.4";"13.2";"10.1";"3.1"
