"Lengte en gewicht van personen, ondergewicht en overgewicht; vanaf 1981"
"";"";"";"Onderwerpen";"Onder- en overgewicht, 4 jaar of ouder";"Onder- en overgewicht, 4 jaar of ouder";"Onder- en overgewicht, 4 jaar of ouder";"Onder- en overgewicht, 4 jaar of ouder";"Onder- en overgewicht, 4 jaar of ouder"
"";"";"";"Onderwerpen";"Ondergewicht";"Normaal gewicht";"Overgewicht";"Mate van overgewicht";"Mate van overgewicht"
"";"";"";"Onderwerpen";"Ondergewicht";"Normaal gewicht";"Overgewicht";"Matig overgewicht";"Ernstig overgewicht"
"Geslacht";"Leeftijd";"Cijfersoort";"Perioden";"%";"%";"%";"%";"%"
"Totaal mannen en vrouwen";"Totaal";"Percentages/gemiddelden";"1981";"3.3";"69.3";"27.4";"22.9";"4.4"
"Totaal mannen en vrouwen";"Totaal";"Percentages/gemiddelden";"1982";"3.7";"69.5";"26.7";"22.6";"4.1"
"Totaal mannen en vrouwen";"Totaal";"Percentages/gemiddelden";"1983";"3.7";"68.9";"27.4";"23.1";"4.3"
"Totaal mannen en vrouwen";"Totaal";"Percentages/gemiddelden";"1984";"3.9";"68.7";"27.3";"22.8";"4.5"
"Totaal mannen en vrouwen";"Totaal";"Percentages/gemiddelden";"1985";"4.0";"68.7";"27.3";"22.9";"4.3"
"Totaal mannen en vrouwen";"Totaal";"Percentages/gemiddelden";"1986";"4.1";"67.8";"28.1";"23.9";"4.2"
"Totaal mannen en vrouwen";"Totaal";"Percentages/gemiddelden";"1987";"3.4";"67.5";"29.1";"24.6";"4.5"
"Totaal mannen en vrouwen";"Totaal";"Percentages/gemiddelden";"1988";"3.5";"68.1";"28.4";"24.2";"4.1"
"Totaal mannen en vrouwen";"Totaal";"Percentages/gemiddelden";"1989";"3.3";"66.8";"29.9";"24.5";"5.4"
"Totaal mannen en vrouwen";"Totaal";"Percentages/gemiddelden";"1990";"3.6";"66.4";"30.0";"24.4";"5.6"
"Totaal mannen en vrouwen";"Totaal";"Percentages/gemiddelden";"1991";"3.2";"66.3";"30.5";"25.4";"5.1"
"Totaal mannen en vrouwen";"Totaal";"Percentages/gemiddelden";"1992";"3.5";"64.9";"31.7";"26.0";"5.6"
"Totaal mannen en vrouwen";"Totaal";"Percentages/gemiddelden";"1993";"3.5";"64.8";"31.7";"26.0";"5.7"
"Totaal mannen en vrouwen";"Totaal";"Percentages/gemiddelden";"1994";"3.0";"63.8";"33.1";"26.8";"6.4"
"Totaal mannen en vrouwen";"Totaal";"Percentages/gemiddelden";"1995";"3.2";"64.4";"32.5";"26.2";"6.2"
"Totaal mannen en vrouwen";"Totaal";"Percentages/gemiddelden";"1996";"3.8";"62.5";"33.7";"27.4";"6.3"
"Totaal mannen en vrouwen";"Totaal";"Percentages/gemiddelden";"1997";"3.0";"62.2";"34.8";"27.6";"7.2"
"Totaal mannen en vrouwen";"Totaal";"Percentages/gemiddelden";"1998";"2.9";"62.4";"34.7";"27.4";"7.3"
"Totaal mannen en vrouwen";"Totaal";"Percentages/gemiddelden";"1999";"2.9";"60.9";"36.2";"28.7";"7.6"
"Totaal mannen en vrouwen";"Totaal";"Percentages/gemiddelden";"2000";"2.7";"59.6";"37.7";"29.6";"8.1"
"Totaal mannen en vrouwen";"Totaal";"Percentages/gemiddelden";"2001";"2.6";"59.0";"38.4";"30.1";"8.2"
"Totaal mannen en vrouwen";"Totaal";"Percentages/gemiddelden";"2002";"2.8";"58.7";"38.5";"29.9";"8.6"
"Totaal mannen en vrouwen";"Totaal";"Percentages/gemiddelden";"2003";"2.5";"58.3";"39.2";"29.8";"9.4"
"Totaal mannen en vrouwen";"Totaal";"Percentages/gemiddelden";"2004";"2.5";"57.4";"40.1";"30.4";"9.7"
"Totaal mannen en vrouwen";"Totaal";"Percentages/gemiddelden";"2005";"2.5";"58.6";"38.9";"29.5";"9.3"
"Totaal mannen en vrouwen";"Totaal";"Percentages/gemiddelden";"2006";"2.5";"57.8";"39.8";"30.0";"9.8"
"Totaal mannen en vrouwen";"Totaal";"Percentages/gemiddelden";"2007";"2.5";"58.5";"39.0";"29.2";"9.8"
"Totaal mannen en vrouwen";"Totaal";"Percentages/gemiddelden";"2008";"2.5";"57.0";"40.5";"30.7";"9.8"
"Totaal mannen en vrouwen";"Totaal";"Percentages/gemiddelden";"2009";"2.4";"56.7";"40.8";"30.6";"10.2"
